1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
    14	 0.11167	 0.04749	 0.07904	 0.09988	 0.20049	 0.18566	 0.13232	 0.04252	-0.03153	 0.04503	-0.07486	 0.04654	-0.03363	 0.01263	-0.00669	 0.00252	 0.00661	 0.02552	-0.02955	 0.02216	-0.02424	-0.00518	-0.05706	 0.02553	 0.03267	-0.01225	-0.00002	 0.00003	 0.13688	 0.05656	 0.11177	 0.06848	 0.38003	 0.21129	 0.07915	 0.50349	NULL
    15	 0.09952	 0.06486	 0.09616	 0.07550	 0.18384	 0.20947	 0.13520	 0.01912	-0.05776	 0.04379	-0.09492	 0.04483	-0.04946	 0.00870	-0.02705	 0.00084	-0.03307	 0.01934	-0.06027	 0.01718	-0.05276	-0.01076	-0.06464	 0.01764	-0.01670	-0.01076	-0.04669	 0.01703	 0.12732	 0.03849	 0.09376	 0.07504	 0.39009	 0.22389	-0.11875	 0.58138	NULL
    16	 0.09952	 0.06486	 0.09616	 0.07550	 0.18384	 0.20947	 0.11716	 0.02550	-0.07085	 0.04317	-0.11496	 0.04313	-0.05823	 0.00651	-0.03796	-0.00015	-0.05371	 0.01556	-0.07590	 0.01426	-0.07013	-0.01242	-0.07711	 0.01679	-0.03336	-0.02153	-0.09327	 0.03398	 0.09747	 0.04970	 0.09376	 0.07504	 0.39840	 0.23354	-0.11875	 0.58138	NULL
    17	 0.12770	 0.05428	 0.09616	 0.07550	 0.19225	 0.22389	 0.09914	 0.03188	-0.07869	 0.03504	-0.14362	 0.05388	-0.07962	 0.00467	-0.05525	-0.00382	-0.09594	 0.00769	-0.10810	 0.00983	-0.10479	-0.01574	-0.08466	 0.00890	-0.06663	-0.04303	-0.13978	 0.05092	 0.06765	 0.06089	 0.07576	 0.08159	 0.42017	 0.25628	-0.11875	 0.58138	NULL
    18	 0.12770	 0.05428	 0.09616	 0.07550	 0.20067	 0.23833	 0.08111	 0.03825	-0.09177	 0.03441	-0.16360	 0.05217	-0.08839	 0.00248	-0.06615	-0.00480	-0.11756	 0.00362	-0.12416	 0.00760	-0.11587	-0.01968	-0.09711	 0.00804	-0.09948	-0.04766	-0.18623	 0.06783	 0.03787	 0.07207	 0.07576	 0.08159	 0.43697	 0.26993	-0.11875	 0.58138	NULL
    19	 0.11553	 0.07168	 0.10750	 0.08982	 0.21750	 0.26728	 0.06312	 0.04461	-0.11789	 0.03316	-0.20350	 0.04872	-0.11076	 0.00212	-0.08563	-0.00764	-0.16073	-0.00451	-0.15472	 0.00261	-0.14426	-0.02526	-0.14415	 0.01947	-0.13259	-0.06910	-0.23260	 0.08471	 0.03787	 0.07207	 0.07576	 0.08159	 0.48786	 0.29411	 0.07915	 0.50349	NULL
    20	 0.14373	 0.06110	 0.10750	 0.08982	 0.23433	 0.29631	 0.06312	 0.04461	-0.14922	 0.03940	-0.22342	 0.04699	-0.12056	 0.00143	-0.09728	-0.00748	-0.18338	-0.00882	-0.17179	 0.00023	-0.15720	-0.02651	-0.15655	 0.01859	-0.14912	-0.07981	-0.17882	 0.00852	 0.02840	 0.05400	 0.07887	 0.09613	 0.51668	 0.30678	-0.17959	 0.87501	NULL
    21	 0.15980	 0.06790	 0.10167	 0.12859	 0.25118	 0.32542	 0.04513	 0.05098	-0.17527	 0.03813	-0.26319	 0.04353	-0.14013	 0.00002	-0.11977	-0.00833	-0.23124	-0.01915	-0.20593	-0.00451	-0.18928	-0.02675	-0.18135	 0.01685	-0.21410	-0.07230	-0.22511	 0.02537	-0.00132	 0.06515	 0.07887	 0.09613	 0.56776	 0.32542	-0.17959	 0.87501	NULL
    22	 0.15980	 0.06790	 0.10167	 0.12859	 0.25118	 0.32542	 0.04803	 0.02760	-0.20653	 0.04435	-0.28303	 0.04180	-0.14990	-0.00068	-0.13282	-0.00850	-0.25773	-0.02335	-0.22250	-0.00757	-0.20032	-0.03067	-0.19860	 0.02297	-0.24665	-0.07694	-0.27133	 0.04219	-0.01077	 0.04711	 0.07887	 0.09613	 0.57951	 0.33559	-0.17959	 0.87501	NULL
    23	 0.17587	 0.07471	 0.07318	 0.13867	 0.25960	 0.34001	 0.01502	 0.01696	-0.23250	 0.04306	-0.29425	 0.02766	-0.17119	-0.00252	-0.15290	-0.01278	-0.30274	-0.03199	-0.25065	-0.01074	-0.23419	-0.02826	-0.20609	 0.01509	-0.27945	-0.09831	-0.31747	 0.05899	-0.04983	 0.04021	 0.07576	 0.08159	 0.59476	 0.34620	-0.11875	 0.58138	NULL
